client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f2043_25,0,,134,test,0.0,4.087374210357666
f2084_07,0,,160,test,0.0,4.111478805541992
f2108_54,0,,6,test,0.0,3.897984027862549
f2130_74,0,,180,test,0.05555555555555555,4.11659049987793
f2143_66,0,,176,test,0.0,4.149354934692383
f2152_98,0,,147,test,0.0,4.121239185333252
f2184_98,0,,173,test,0.0,4.12950325012207
f2199_64,0,,143,test,0.0,4.081566333770752
f2219_62,0,,156,test,0.0,4.140804290771484
f2222_84,0,,168,test,0.058823529411764705,4.083770751953125
f2239_84,0,,168,test,0.058823529411764705,4.129563331604004
f2256_71,0,,162,test,0.0,4.076445579528809
f2288_58,0,,157,test,0.0,4.183879375457764
f2327_90,0,,159,test,0.0,4.06955623626709
f2347_58,0,,160,test,0.0,4.136470317840576
f2363_77,0,,127,test,0.0,4.094568729400635
f2401_78,0,,174,test,0.0,4.167856693267822
f2423_88,0,,173,test,0.0,4.112311840057373
f2428_96,0,,163,test,0.0,4.153218746185303
f2429_95,0,,179,test,0.0,4.147732734680176
f2475_66,0,,173,test,0.05555555555555555,4.117443561553955
f2506_77,0,,162,test,0.0,4.117520809173584
f2518_67,0,,65,test,0.0,4.1510396003723145
f2521_66,0,,164,test,0.0,4.124443054199219
f2530_91,0,,184,test,0.0,4.130651950836182
f2552_82,0,,166,test,0.0,4.149124622344971
f2557_98,0,,174,test,0.0,4.167455673217773
f2559_95,0,,125,test,0.0,4.1188225746154785
f2599_91,0,,144,test,0.0,4.1466498374938965
f3103_38,0,,181,test,0.0,4.098775386810303
f3153_49,0,,174,test,0.0,4.149998188018799
f3178_23,0,,171,test,0.0,4.120487689971924
f3179_39,0,,28,test,0.3333333333333333,4.095815181732178
f3181_10,0,,157,test,0.0,4.160734176635742
f3182_40,0,,160,test,0.0,4.117408752441406
f3195_04,0,,167,test,0.0,4.154716491699219
f3259_15,0,,180,test,0.0,4.147375583648682
f3266_12,0,,47,test,0.0,4.1024274826049805
f3280_34,0,,182,test,0.0,4.135934829711914
f3308_03,0,,169,test,0.0,4.19637393951416
f3329_30,0,,179,test,0.0,4.136345386505127
f3330_43,0,,176,test,0.0,4.162577152252197
f3414_29,0,,157,test,0.0,4.154714107513428
f3418_34,0,,161,test,0.0,4.153604984283447
f3423_29,0,,164,test,0.0,4.175646781921387
f3424_24,0,,163,test,0.0,4.173758029937744
f3451_01,0,,154,test,0.0,4.174572944641113
f3467_12,0,,173,test,0.0,4.155916213989258
f3499_36,0,,174,test,0.0,4.11491584777832
f3527_33,0,,183,test,0.0,4.134692192077637
f3529_11,0,,179,test,0.0,4.122945308685303
f3544_20,0,,167,test,0.0,4.160841464996338
f3562_47,0,,168,test,0.0,4.135848522186279
f3567_49,0,,176,test,0.0,4.120124340057373
f3569_18,0,,176,test,0.0,4.147096157073975
f3588_33,0,,181,test,0.0,4.148715496063232
f3622_43,0,,172,test,0.0,4.187632083892822
f3676_37,0,,10,test,0.0,4.239257335662842
f3691_47,0,,160,test,0.0,4.1919732093811035
f3697_32,0,,180,test,0.0,4.160870552062988
f3702_47,0,,170,test,0.0,4.194906234741211
f3704_45,0,,93,test,0.0,4.0925116539001465
f3718_40,0,,19,test,0.0,4.285099983215332
f3776_05,0,,168,test,0.0,4.178083419799805
f3810_05,0,,148,test,0.0,4.120774745941162
f3816_24,0,,174,test,0.0,4.177681922912598
f3822_47,0,,181,test,0.0,4.146818161010742
f3840_05,0,,181,test,0.0,4.145040988922119
f3862_40,0,,180,test,0.0,4.182127952575684
f3883_18,0,,179,test,0.0,4.158300399780273
f3909_46,0,,169,test,0.0,4.159528732299805
f3913_01,0,,168,test,0.0,4.16099739074707
f3929_28,0,,136,test,0.0,4.1158294677734375
f3937_40,0,,171,test,0.0,4.165287971496582
f3994_27,0,,170,test,0.0,4.196196556091309
f4006_12,0,,177,test,0.05555555555555555,4.164692401885986
f4011_12,0,,181,test,0.0,4.1721038818359375
f4012_13,0,,172,test,0.0,4.136724472045898
f4026_43,0,,181,test,0.0,4.116830348968506
f4036_01,0,,158,test,0.0,4.188224792480469
f4050_05,0,,138,test,0.0,4.146463871002197
f4052_33,0,,67,test,0.0,4.110997676849365
f4090_35,0,,144,test,0.0,4.121546745300293
f4099_10,0,,174,test,0.0,4.138786792755127
